casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,violent_cat,property_cat
2023-00502885,W EXCHANGE ST,2023-12-30T22:40:46.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502885-001,None,Larceny-theft
2023-00106016,JOHN J PARTINGTON WAY &  ATWELLS AVE,2023-12-30T20:34:00.000,12,2023,Auto Fire,Not Used,No Violations,0,SCooney,2023-00106016-001,None,None
2023-00105943,PROVIDENCE,2023-12-30T14:55:00.000,12,2023,Request for Assistance,Not Used,No violations,0,Central Station,2023-00105943-001,None,None
2023-00105818,N MAIN ST &  HILLSIDE AVE,2023-12-29T23:23:15.000,12,2023,Shots Fired,Not Used,No Violations,0,TGibson,2023-00105818-001,None,None
2023-00105701,BROAD ST & JOHN J PARTINGTON WAY,2023-12-29T15:24:00.000,12,2023,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2,TJones,2023-00105701-001,None,None
2023-00502880,CANDACE ST,2023-12-29T14:51:10.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502880-001,None,Larceny-theft
2023-00105378,0 Block PLEASANT VALLEY PKY,2023-12-28T04:27:18.000,12,2023,Robbery,11-39-1,ROBBERY-2ND DEGREE,1,GSans-Souci,2023-00105378-001,Robbery,None
2023-00502872,SPRUCE,2023-12-27T23:16:35.000,12,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2023-00502872-001,None,Larceny-theft
2023-00105168,PARK ST,2023-12-27T08:41:00.000,12,2023,Larceny - Theft,Not Used,"Under Investigation, Offense Pending",0,JGallucci,2023-00105168-001,None,Larceny-theft
2023-00105090,RT10N & ELMWOOD AVE,2023-12-26T20:07:00.000,12,2023,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,CCorreia,2023-00105090-001,None,None
