casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,latitude,longitude,source,violent_cat,property_cat
2024-00000273,200 Block ATWELLS AVE,2024-01-02T03:07:56.000,1,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,BAucoin,2024-00000273-001,41.823571216500056,-71.42623064599994,E911,,Motor Vehicle Theft
2024-00000266,ACORN ST &  ATWELLS AVE,2024-01-02T01:55:45.000,1,2024,Disturbance,Not Used,No violations,0,BAucoin,2024-00000266-001,41.82367324626248,-71.4280243037622,RIDOT,,
2024-00000260,200 Block SMITH ST,2024-01-02T01:11:00.000,1,2024,Auto Towed,Not Used,Parking or MV Violation,0,RAnderson,2024-00000260-001,41.83280510700007,-71.42011135649997,E911,,
2024-00000247,0 Block MANTON AVE,2024-01-01T23:43:26.000,1,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,NLaFazia,2024-00000247-001,41.82352864300003,-71.45321608199998,E911,,
2024-00000240,200 Block PROMENADE ST,2024-01-01T23:10:43.000,1,2024,Suspicious Person,Not Used,No Violations,0,THoulihan,2024-00000240-001,41.82929860550007,-71.42117509849996,E911,,
2024-00000236,0 Block TOBEY ST,2024-01-01T22:32:49.000,1,2024,Disturbance,Not Used,No Violations,0,BAucoin,2024-00000236-001,41.81890717050007,-71.43539921699994,E911,,
2024-00000227,0 Block WILD ST,2024-01-01T21:21:00.000,1,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,,2024-00000227-001,41.85519665800007,-71.43808649549996,E911,,
2024-00000216,200 Block LLOYD AVE,2024-01-01T19:45:00.000,1,2024,Fraud,Not Used,No violations,0,Central Station,2024-00000216-001,41.83246795250005,-71.39645110399996,E911,,
2024-00000214,0 Block KENNEDY PLZ,2024-01-01T19:38:05.000,1,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,GGenao,2024-00000214-001,41.82467416900005,-71.41238447799995,E911,,
2024-00000201,0 Block WHIPPLE ST,2024-01-01T17:27:00.000,1,2024,Suspicious Person,Not Used,No Violations,0,MLabutti,2024-00000201-001,41.83810505150004,-71.42037658449996,E911,,
2024-00000195,ATWELLS AVE &  HARRIS AVE,2024-01-01T16:53:00.000,1,2024,Auto Towed,Not Used,Parking or MV Violation,0,MPesola,2024-00000195-001,41.8244628867604,-71.43549348124851,RIDOT,,
2024-00000184,PARKVIEW AVE &  BROAD ST,2024-01-01T16:03:00.000,1,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,WSherrill,2024-00000184-001,41.792171474125375,-71.40716553558129,RIDOT,,
